Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,VIDEO_AVAILABLE
1610612748,0021001221,"APR 13, 2011",MIA @ TOR,W,240,37,81,0.457,13,26,0.5,10,14,0.714,13,27,40,20,6,1,14,18,97,0
1610612748,0021001202,"APR 11, 2011",MIA @ ATL,W,240,36,69,0.522,6,17,0.353,20,24,0.833,10,28,38,24,5,3,17,19,98,0
1610612748,0021001194,"APR 10, 2011",MIA vs. BOS,W,240,38,75,0.507,6,18,0.333,18,26,0.692,15,27,42,24,9,4,17,17,100,0
1610612748,0021001182,"APR 08, 2011",MIA vs. CHA,W,240,39,69,0.565,3,9,0.333,31,35,0.886,5,29,34,26,7,4,16,20,112,0
1610612748,0021001164,"APR 06, 2011",MIA vs. MIL,L,240,30,74,0.405,8,23,0.348,17,21,0.81,12,31,43,14,6,6,16,15,85,0
1610612748,0021001142,"APR 03, 2011",MIA @ NJN,W,240,42,75,0.56,5,15,0.333,19,32,0.594,8,42,50,22,5,4,15,23,108,0
1610612748,0021001126,"APR 01, 2011",MIA @ MIN,W,240,42,77,0.545,4,13,0.308,23,30,0.767,9,37,46,26,8,3,18,20,111,0
1610612748,0021001110,"MAR 30, 2011",MIA @ WAS,W,240,41,71,0.577,10,19,0.526,31,39,0.795,8,27,35,28,7,7,13,18,123,0
1610612748,0021001101,"MAR 29, 2011",MIA @ CLE,L,240,33,78,0.423,10,25,0.4,14,22,0.636,8,22,30,24,5,3,12,25,90,0
1610612748,0021001089,"MAR 27, 2011",MIA vs. HOU,W,240,46,92,0.5,5,17,0.294,28,34,0.824,17,31,48,16,1,6,10,19,125,0
1610612748,0021001072,"MAR 25, 2011",MIA vs. PHI,W,240,41,83,0.494,7,20,0.35,22,28,0.786,15,34,49,22,11,6,15,17,111,0
1610612748,0021001058,"MAR 23, 2011",MIA @ DET,W,240,31,64,0.484,6,19,0.316,32,39,0.821,8,26,34,20,6,1,11,21,100,0
1610612748,0021001030,"MAR 19, 2011",MIA vs. DEN,W,240,36,71,0.507,6,20,0.3,25,29,0.862,4,34,38,15,6,11,12,22,103,0
1610612748,0021001020,"MAR 18, 2011",MIA @ ATL,W,240,38,71,0.535,11,22,0.5,19,26,0.731,8,42,50,28,2,3,16,23,106,0
1610612748,0021001006,"MAR 16, 2011",MIA vs. OKC,L,240,30,78,0.385,3,17,0.176,22,28,0.786,9,31,40,14,5,8,11,19,85,0
1610612748,0021000993,"MAR 14, 2011",MIA vs. SAS,W,240,42,78,0.538,3,9,0.333,23,24,0.958,8,39,47,25,9,5,11,21,110,0
1610612748,0021000976,"MAR 12, 2011",MIA vs. MEM,W,240,40,69,0.58,12,19,0.632,26,30,0.867,5,35,40,27,10,11,13,25,118,0
1610612748,0021000964,"MAR 10, 2011",MIA vs. LAL,W,240,37,81,0.457,8,19,0.421,12,18,0.667,18,28,46,17,8,3,15,19,94,0
1610612748,0021000951,"MAR 08, 2011",MIA vs. POR,L,240,37,72,0.514,7,22,0.318,15,19,0.789,6,25,31,20,6,2,13,21,96,0
1610612748,0021000931,"MAR 06, 2011",MIA vs. CHI,L,240,33,68,0.485,3,9,0.333,17,23,0.739,8,22,30,18,8,4,16,23,86,0
1610612748,0021000923,"MAR 04, 2011",MIA @ SAS,L,240,37,78,0.474,7,20,0.35,14,20,0.7,6,34,40,23,3,2,14,22,95,0
1610612748,0021000912,"MAR 03, 2011",MIA vs. ORL,L,240,35,75,0.467,3,17,0.176,23,30,0.767,8,27,35,13,10,5,12,19,96,0
1610612748,0021000887,"FEB 27, 2011",MIA vs. NYK,L,240,32,74,0.432,6,22,0.273,16,22,0.727,6,36,42,20,9,3,18,18,86,0
1610612748,0021000866,"FEB 25, 2011",MIA vs. WAS,W,240,41,78,0.526,5,13,0.385,34,45,0.756,5,29,34,14,5,6,8,17,121,0
1610612748,0021000859,"FEB 24, 2011",MIA @ CHI,L,240,32,79,0.405,2,12,0.167,23,27,0.852,6,33,39,12,8,5,12,23,89,0
1610612748,0021000841,"FEB 22, 2011",MIA vs. SAC,W,240,51,90,0.567,7,18,0.389,8,11,0.727,8,35,43,20,9,4,9,19,117,0
1610612748,0021000825,"FEB 16, 2011",MIA @ TOR,W,240,36,73,0.493,2,11,0.182,29,37,0.784,10,39,49,22,5,6,17,14,103,0
1610612748,0021000818,"FEB 15, 2011",MIA @ IND,W,240,43,88,0.489,4,16,0.25,20,26,0.769,10,40,50,15,6,8,13,21,110,0
1610612748,0021000804,"FEB 13, 2011",MIA @ BOS,L,240,31,74,0.419,3,16,0.188,17,23,0.739,9,32,41,17,3,3,15,21,82,0
1610612748,0021000792,"FEB 11, 2011",MIA @ DET,W,240,38,75,0.507,6,14,0.429,24,29,0.828,11,33,44,29,9,3,16,17,106,0
1610612748,0021000769,"FEB 08, 2011",MIA vs. IND,W,240,44,83,0.53,8,24,0.333,21,28,0.75,10,26,36,20,10,3,11,14,117,0
1610612748,0021000754,"FEB 06, 2011",MIA vs. LAC,W,240,34,77,0.442,10,28,0.357,19,28,0.679,10,34,44,19,9,7,13,24,97,0
1610612748,0021000733,"FEB 04, 2011",MIA @ CHA,W,240,43,78,0.551,9,19,0.474,14,19,0.737,9,27,36,24,12,3,8,25,109,0
1610612748,0021000730,"FEB 03, 2011",MIA @ ORL,W,240,36,72,0.5,7,16,0.438,25,36,0.694,9,35,44,19,6,6,10,27,104,0
1610612748,0021000710,"JAN 31, 2011",MIA vs. CLE,W,240,43,88,0.489,8,18,0.444,23,28,0.821,16,34,50,19,7,6,13,20,117,0
1610612748,0021000701,"JAN 30, 2011",MIA @ OKC,W,240,39,75,0.52,8,18,0.444,22,32,0.688,12,29,41,21,10,9,20,24,108,0
1610612748,0021000686,"JAN 28, 2011",MIA vs. DET,W,240,33,73,0.452,5,24,0.208,17,22,0.773,9,33,42,18,3,5,9,16,88,0
1610612748,0021000678,"JAN 27, 2011",MIA @ NYK,L,240,30,72,0.417,5,19,0.263,23,33,0.697,11,38,49,13,7,5,17,22,88,0
1610612748,0021000643,"JAN 22, 2011",MIA vs. TOR,W,240,42,80,0.525,16,26,0.615,20,26,0.769,10,32,42,27,4,8,13,22,120,0
1610612748,0021000611,"JAN 18, 2011",MIA vs. ATL,L,265,28,77,0.364,7,30,0.233,26,29,0.897,11,35,46,12,6,5,16,18,89,0
1610612748,0021000591,"JAN 15, 2011",MIA @ CHI,L,240,34,77,0.442,13,28,0.464,15,20,0.75,6,24,30,18,2,9,12,20,96,0
1610612748,0021000575,"JAN 13, 2011",MIA @ DEN,L,240,41,89,0.461,10,23,0.435,10,18,0.556,12,29,41,23,3,5,16,15,102,0
1610612748,0021000572,"JAN 12, 2011",MIA @ LAC,L,240,37,88,0.42,8,27,0.296,23,30,0.767,13,33,46,22,3,5,7,21,105,0
1610612748,0021000549,"JAN 09, 2011",MIA @ POR,W,265,45,79,0.57,5,15,0.333,12,16,0.75,7,34,41,19,7,3,17,22,107,0
1610612748,0021000532,"JAN 07, 2011",MIA @ MIL,W,265,35,89,0.393,5,12,0.417,26,32,0.813,13,35,48,20,11,6,16,21,101,0
1610612748,0021000505,"JAN 04, 2011",MIA vs. MIL,W,240,33,74,0.446,4,12,0.333,31,37,0.838,12,35,47,14,8,7,13,22,101,0
1610612748,0021000499,"JAN 03, 2011",MIA @ CHA,W,240,37,76,0.487,5,15,0.333,17,19,0.895,10,36,46,15,5,5,11,15,96,0
1610612748,0021000486,"JAN 01, 2011",MIA vs. GSW,W,240,35,71,0.493,9,21,0.429,35,47,0.745,10,33,43,24,7,6,14,12,114,0
1610612748,0021000469,"DEC 29, 2010",MIA @ HOU,W,240,43,74,0.581,5,16,0.313,34,37,0.919,4,36,40,20,3,9,16,26,125,0
1610612748,0021000457,"DEC 28, 2010",MIA vs. NYK,W,240,38,79,0.481,3,13,0.231,27,34,0.794,13,37,50,15,2,5,10,20,106,0
1610612748,0021000435,"DEC 25, 2010",MIA @ LAL,W,240,35,79,0.443,9,25,0.36,17,20,0.85,9,35,44,25,9,4,9,17,96,0
1610612748,0021000432,"DEC 23, 2010",MIA @ PHX,W,240,37,82,0.451,5,18,0.278,16,17,0.941,11,33,44,12,9,4,16,22,95,0
1610612748,0021000410,"DEC 20, 2010",MIA vs. DAL,L,240,34,84,0.405,11,31,0.355,17,25,0.68,16,28,44,18,7,5,12,20,96,0
1610612748,0021000393,"DEC 18, 2010",MIA @ WAS,W,240,31,72,0.431,8,22,0.364,25,32,0.781,8,36,44,18,8,9,17,20,95,0
1610612748,0021000382,"DEC 17, 2010",MIA @ NYK,W,240,45,82,0.549,10,18,0.556,13,18,0.722,8,37,45,19,10,9,18,20,113,0
1610612748,0021000371,"DEC 15, 2010",MIA vs. CLE,W,240,32,70,0.457,10,23,0.435,27,41,0.659,9,36,45,17,4,8,13,20,101,0
1610612748,0021000355,"DEC 13, 2010",MIA vs. NOH,W,240,31,70,0.443,4,14,0.286,30,38,0.789,8,28,36,17,6,9,6,25,96,0
1610612748,0021000348,"DEC 11, 2010",MIA @ SAC,W,240,41,79,0.519,7,14,0.5,15,24,0.625,11,45,56,22,7,8,14,18,104,0
1610612748,0021000340,"DEC 10, 2010",MIA @ GSW,W,240,41,78,0.526,9,14,0.643,15,21,0.714,15,35,50,33,8,7,16,16,106,0
1610612748,0021000324,"DEC 08, 2010",MIA @ UTA,W,240,41,80,0.513,9,20,0.45,20,25,0.8,15,27,42,22,8,1,15,21,111,0
1610612748,0021000306,"DEC 06, 2010",MIA @ MIL,W,240,35,72,0.486,5,8,0.625,13,18,0.722,11,37,48,20,2,3,18,26,88,0
1610612748,0021000288,"DEC 04, 2010",MIA vs. ATL,W,240,34,72,0.472,3,8,0.375,18,23,0.783,6,37,43,15,7,9,9,16,89,0
1610612748,0021000273,"DEC 02, 2010",MIA @ CLE,W,240,47,83,0.566,10,24,0.417,14,21,0.667,9,34,43,30,7,5,9,28,118,0
