Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,VIDEO_AVAILABLE
1610612742,0040200316,"MAY 29, 2003",DAL vs. SAS,L,240,33,78,0.423,5,18,0.278,7,11,0.636,8,34,42,21,4,10,17,20,78,0
1610612742,0040200315,"MAY 27, 2003",DAL @ SAS,W,240,36,83,0.434,8,22,0.364,23,23,1.0,11,31,42,16,9,2,11,25,103,0
1610612742,0040200314,"MAY 25, 2003",DAL vs. SAS,L,240,37,85,0.435,12,31,0.387,9,13,0.692,14,26,40,15,5,7,13,22,95,0
1610612742,0040200313,"MAY 23, 2003",DAL vs. SAS,L,240,35,87,0.402,9,19,0.474,4,6,0.667,7,29,36,24,8,8,13,23,83,0
1610612742,0040200312,"MAY 21, 2003",DAL @ SAS,L,240,37,90,0.411,12,30,0.4,20,22,0.909,8,33,41,22,9,2,11,26,106,0
1610612742,0040200311,"MAY 19, 2003",DAL @ SAS,W,240,29,72,0.403,6,16,0.375,49,50,0.98,10,36,46,10,4,5,14,36,113,0
1610612742,0040200237,"MAY 17, 2003",DAL vs. SAC,W,240,45,91,0.495,11,20,0.55,11,16,0.688,8,40,48,27,6,5,7,19,112,0
1610612742,0040200236,"MAY 15, 2003",DAL @ SAC,L,240,40,82,0.488,10,26,0.385,19,22,0.864,6,32,38,16,4,9,14,23,109,0
1610612742,0040200235,"MAY 13, 2003",DAL vs. SAC,W,240,38,86,0.442,7,23,0.304,29,36,0.806,15,43,58,23,8,11,11,25,112,0
1610612742,0040200234,"MAY 11, 2003",DAL @ SAC,L,240,36,95,0.379,3,20,0.15,8,15,0.533,17,36,53,16,4,3,16,22,83,0
1610612742,0040200233,"MAY 10, 2003",DAL @ SAC,W,290,53,110,0.482,19,42,0.452,16,20,0.8,11,36,47,28,7,2,10,31,141,0
1610612742,0040200232,"MAY 08, 2003",DAL vs. SAC,W,240,51,99,0.515,17,32,0.531,13,18,0.722,14,32,46,23,5,4,11,25,132,0
1610612742,0040200231,"MAY 06, 2003",DAL vs. SAC,L,240,46,98,0.469,8,24,0.333,13,18,0.722,16,26,42,25,4,5,13,23,113,0
1610612742,0040200167,"MAY 04, 2003",DAL vs. POR,W,240,38,83,0.458,7,20,0.35,24,26,0.923,13,29,42,15,7,9,11,24,107,0
1610612742,0040200166,"MAY 02, 2003",DAL @ POR,L,240,39,92,0.424,9,17,0.529,16,21,0.762,17,15,32,26,6,2,11,23,103,0
1610612742,0040200165,"APR 30, 2003",DAL vs. POR,L,240,36,73,0.493,3,11,0.273,24,29,0.828,11,21,32,18,6,2,11,24,99,0
1610612742,0040200164,"APR 27, 2003",DAL @ POR,L,240,31,83,0.373,5,20,0.25,12,13,0.923,10,34,44,18,6,6,15,28,79,0
1610612742,0040200163,"APR 25, 2003",DAL @ POR,W,240,42,83,0.506,13,29,0.448,18,21,0.857,10,24,34,27,8,2,6,26,115,0
1610612742,0040200162,"APR 23, 2003",DAL vs. POR,W,240,38,78,0.487,12,25,0.48,15,18,0.833,10,28,38,20,8,0,14,25,103,0
1610612742,0040200161,"APR 19, 2003",DAL vs. POR,W,240,34,73,0.466,8,18,0.444,20,24,0.833,7,33,40,18,3,9,10,16,96,0
