Team_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,VIDEO_AVAILABLE
1610612755,0041100217,"MAY 26, 2012",PHI @ BOS,L,240,28,80,0.35,5,18,0.278,14,20,0.7,13,32,45,15,9,1,15,23,75,0
1610612755,0041100216,"MAY 23, 2012",PHI vs. BOS,W,240,32,70,0.457,1,9,0.111,17,28,0.607,7,30,37,22,7,6,12,16,82,0
1610612755,0041100215,"MAY 21, 2012",PHI @ BOS,L,240,36,77,0.468,3,9,0.333,10,16,0.625,14,23,37,20,7,1,15,24,85,0
1610612755,0041100214,"MAY 18, 2012",PHI vs. BOS,W,240,31,82,0.378,5,11,0.455,25,36,0.694,17,35,52,18,9,2,11,19,92,0
1610612755,0041100213,"MAY 16, 2012",PHI vs. BOS,L,240,33,81,0.407,8,15,0.533,17,22,0.773,11,26,37,22,3,7,9,20,91,0
1610612755,0041100212,"MAY 14, 2012",PHI @ BOS,W,240,31,76,0.408,5,14,0.357,15,21,0.714,11,36,47,17,10,6,16,13,82,0
1610612755,0041100211,"MAY 12, 2012",PHI @ BOS,L,240,36,82,0.439,5,14,0.357,14,20,0.7,8,33,41,19,9,8,11,15,91,0
1610612755,0041100106,"MAY 10, 2012",PHI vs. CHI,W,240,29,73,0.397,6,16,0.375,15,20,0.75,5,28,33,19,7,6,7,18,79,0
1610612755,0041100105,"MAY 08, 2012",PHI @ CHI,L,240,25,78,0.321,2,11,0.182,17,24,0.708,11,38,49,14,7,11,14,18,69,0
1610612755,0041100104,"MAY 06, 2012",PHI vs. CHI,W,240,31,79,0.392,5,19,0.263,22,31,0.71,12,34,46,16,6,6,8,18,89,0
1610612755,0041100103,"MAY 04, 2012",PHI vs. CHI,W,240,26,76,0.342,1,14,0.071,26,33,0.788,12,31,43,13,8,3,8,20,79,0
1610612755,0041100102,"MAY 01, 2012",PHI @ CHI,W,240,46,78,0.59,5,12,0.417,12,15,0.8,7,31,38,23,7,7,7,18,109,0
1610612755,0041100101,"APR 28, 2012",PHI @ CHI,L,240,33,83,0.398,1,9,0.111,24,31,0.774,12,26,38,18,10,5,11,21,91,0
